SYMBOL,foldChange,log2FoldChange,AveExpr,t,B,PValue,PAdj,FDR,falsePos
RPL4P2,8.73924931885434,3.12750936090682,1.65475718787428,6.53416514128364,1.48275509396024,1.442e-04,1.000e+00,0.00229392099045401,3
FOXJ1,86.6698352000869,6.43745805627529,1.69935658172489,6.53249779681569,1.49334957432735,1.445e-04,1.000e+00,0.00229536644383779,3
TFR2,0.048000896205624,-4.3807948477047,-2.96565948576627,-6.5319345773318,1.32638253160694,1.446e-04,1.000e+00,0.00229536644383779,3
TMEM176A,40.652769676383,5.34528174146226,-2.00323468275114,6.52444503459449,1.36157985625733,1.458e-04,1.000e+00,0.00230864869421902,3
HHAT,4.62899685251657,2.21069958167057,2.75919990121824,6.52424320965274,1.42248820803775,1.458e-04,1.000e+00,0.00230864869421902,3
NDRG4,0.144940813757522,-2.78646419554421,1.75770740406533,-6.52419932913061,1.47465090062973,1.458e-04,1.000e+00,0.00230864869421902,3
SRSF3P6,21.8380204624576,4.4487701819863,-2.47818119850034,6.51784599025937,1.32651872159328,1.469e-04,1.000e+00,0.00232271121430561,3
ATP5MC2P5,50.0293075999814,5.64470158061823,-1.85836015551836,6.51696647996348,1.36226582038084,1.470e-04,1.000e+00,0.00232285642881514,3
PPIAP2,9.43035140572306,3.2373115314357,1.06185459248607,6.51546853538688,1.47394658291893,1.472e-04,1.000e+00,0.00232458291430812,3
FAM91A3P,0.0265127364544438,-5.23717060725294,-2.34482047093965,-6.51280023400697,1.34072758929805,1.477e-04,1.000e+00,0.00232525735480753,3
MAPK8IP1P1,0.0317820516294119,-4.97564393166974,-3.26810189784325,-6.51276136215785,1.30936018506663,1.477e-04,1.000e+00,0.00232525735480753,3
PHF13,0.321105473691443,-1.63888083686138,5.5347321685571,-6.51266170705701,1.24462232826373,1.477e-04,1.000e+00,0.00232525735480753,3
RPS3AP44,23.8352799321869,4.57502666405019,-0.637685432972377,6.51085695982683,1.43977786475532,1.480e-04,1.000e+00,0.00232525735480753,3
ARHGEF28,0.0986361055742416,-3.34174035049265,5.18566863503662,-6.51039095360857,1.29139924238805,1.481e-04,1.000e+00,0.00232525735480753,3
SAP30L-AS1,0.129677254329031,-2.9470026449389,0.90640187342391,-6.51029136665856,1.47044581795884,1.481e-04,1.000e+00,0.00232525735480753,3
ABI3,79.8056692026212,6.31841933055798,-0.730266124194293,6.50030277298159,1.40622013076742,1.497e-04,1.000e+00,0.00234884034679809,3
PKMP2,18.748403948032,4.22869587906829,-0.167453271871034,6.49738687647712,1.44409171919839,1.502e-04,1.000e+00,0.00235255087725275,3
SF3B5,3.29927440058068,1.72214877180827,7.06922908273006,6.49724098470214,1.11168335702595,1.502e-04,1.000e+00,0.00235255087725275,3
RPS27P8,9.53634564588103,3.25343652738579,0.768376951425849,6.49352285821726,1.45259820799707,1.508e-04,1.000e+00,0.00235812764586843,3
SCN5A,0.135236084582146,-2.88644794251484,2.48490824212623,-6.49346658044686,1.41723600544731,1.508e-04,1.000e+00,0.00235812764586843,3
SYT7,0.0484082688059139,-4.36860268883731,0.983675775121256,-6.49074259729311,1.44922038058841,1.513e-04,1.000e+00,0.0023631029462078,3
CCL2,29.0658642203358,4.86125389999446,-1.90076572346176,6.48971074242734,1.34157227353639,1.515e-04,1.000e+00,0.00236368083966685,3
MRPL20,2.60407478792421,1.38077088268864,6.38334599704681,6.48747727489058,1.14211641018028,1.518e-04,1.000e+00,0.00236625800768034,3
STON2,16.3571231650317,4.03184712920006,-2.45722989513823,6.48710456103904,1.30354538943066,1.519e-04,1.000e+00,0.00236625800768034,3
NUP50P2,0.0973992159174967,-3.35994603139413,-0.414437343794423,-6.48465144559492,1.42125560929302,1.523e-04,1.000e+00,0.00237055483806205,3
TMSB10P1,8.50880189688629,3.0889560039315,-0.0624663343580458,6.48272375128226,1.4351052562497,1.526e-04,1.000e+00,0.00237348737270298,3
TRIB3,0.287772676238802,-1.79699847892506,6.28609276028783,-6.4813642151428,1.15677764492361,1.529e-04,1.000e+00,0.00237493772044065,3
NDUFA12,3.58139195317339,1.84052041811543,5.00778544821867,6.48016618747249,1.23303941811954,1.531e-04,1.000e+00,0.00237596801784923,3
CKB,7.51866101066593,2.91047575694631,5.1964357422385,6.47928425995653,1.23017156607754,1.532e-04,1.000e+00,0.00237617227227212,3
UQCR11,3.10457770578021,1.63439704196902,6.21143398033001,6.4756868723594,1.14089502610299,1.538e-04,1.000e+00,0.00238350983611126,3
FAM89A,0.163622603716829,-2.61155603109675,3.3770553598819,-6.47451378956654,1.34708148926382,1.540e-04,1.000e+00,0.00238448575911261,3
SERTAD1,3.9134377714863,1.96843650441865,6.68385864303206,6.47219390870834,1.10798951379665,1.544e-04,1.000e+00,0.00238848630377332,3
TCEAL9,6.55988212369559,2.71366989089706,5.21079087104641,6.47107015220979,1.21695185702808,1.546e-04,1.000e+00,0.00238933903647001,3
PPIAP22,3.09700384862458,1.63087317584052,7.12173180951782,6.46668241471564,1.07213462245354,1.554e-04,1.000e+00,0.00239772864194289,3
SPON1,12.4342455546121,3.63624706986162,1.57305376617212,6.46629823843358,1.4142150818355,1.554e-04,1.000e+00,0.00239772864194289,3
CYTH4,51.4493417093661,5.68508071294521,-0.356647837340185,6.46377164142596,1.3936455057039,1.559e-04,1.000e+00,0.00240231306096439,3
SCAF4,0.394576353959074,-1.34162359358551,6.75654784798874,-6.46075205970069,1.09540825688435,1.564e-04,1.000e+00,0.00240822190982968,3
RCBTB2,4.08663270627444,2.03091258428144,3.68044741276135,6.45881100901347,1.29861013785948,1.567e-04,1.000e+00,0.00240973027838273,3
RGS1,215.103221111075,7.74888531865555,-0.0599786978166124,6.45722466500334,1.37647436407896,1.570e-04,1.000e+00,0.00240973027838273,3
